Vendor|VendorAbbr|CountryCode|ProductID|ProductDescription|ProductType|ProductLine|Finish|UOM|Zero81|PkQtyForPricing|Keynote
ASSA|AS|UK|10459700131|SA L1S DIN O/L - UOC MF D/E (IP55) :SNCC12XL1S008SI (Suitable for 72mm/8mm2 Din locks)|EA|SMARTAIR|SSS|EA|259.22|1|11.15
ASSA|AS|UK|10459800031|SA L2V DIN O/L - UOC MF D/E :SNCC12SL2V728SI (Suitable for 72mm/8mm2 Din locks)|EA|SMARTAIR|SSS|EA|235.5|1|11.15
ASSA|AS|UK|10459800131|SA L2V DIN O/L - UOC MF D/E (IP55) :SNCC12XL2V728SI (Suitable for 72mm/8mm2 Din locks)|EA|SMARTAIR|SSS|EA|259.22|1|11.15
ASSA|AS|UK|10459900031|SA L3V DIN O/L - UOC MF D/E :SNCC12SL3V728SI (Suitable for 72mm/8mm2 Din locks)|EA|SMARTAIR|SSS|EA|235.5|1|11.15
ASSA|AS|UK|10461900031|SA L1S SCAN W/L MF D/E :SNWC52SL1S058SI|EA|SMARTAIR|SSS|EA|311.83|1|11.15
ASSA|AS|UK|10462000031|SA L2V SCAN W/L MF D/E :SNWC52SL2V058SI|EA|SMARTAIR|SSS|EA|311.83|1|11.15
ASSA|AS|UK|10462000131|SA L2V SCAN W/L MF D/E ( IP55) :SNWC52XL2V058SI|EA|SMARTAIR|SSS|EA|329.41|1|11.15
ASSA|AS|UK|10462100031|SA L3V SCAN W/L MF D/E :SNWC52SL3V058SI|EA|SMARTAIR|SSS|EA|311.83|1|11.15
ASSA|AS|UK|10462200031|SA L5S SCAN W/L MF D/E :SNWC52SL5S058SI|EA|SMARTAIR|SSS|EA|330.28|1|11.15
ASSA|AS|UK|10462300031|SA L8V SCAN W/L MF D/E :SNWC52SL8V058SI|EA|SMARTAIR|SSS|EA|340.83|1|11.15
ASSA|AS|UK|10462400000|SA WIRELESS MANAGEMENT KIT MF - 10 DR :SNCCKITWIR10|EA|SMARTAIR|n/a|EA|772.02|1|11.6
ASSA|AS|UK|10462500000|SA WIRELESS HUB :STWIRELESSHUB2|EA|SMARTAIR|n/a|EA|307.97|1|11.3
ASSA|AS|UK|10462600000|SA WIRELESS MANAGEMENT KIT MF - 30 DR :SNWCKITWIR30|EA|SMARTAIR|n/a|EA|1023.79|1|11.3
ASSA|AS|UK|10462700000|SA WIRELESS MANAGEMENT KIT MF - 75 DR :SNCCKITWUP75|EA|SMARTAIR|n/a|EA|1530.72|1|11.3
ASSA|AS|UK|10462800000|SA WIRELESS MANAGMENT KIT MF - UNLTD :SNCCKITWUP|EA|SMARTAIR|n/a|EA|2740.07|1|11.3
ASSA|AS|UK|10462900031|SA L1S DIN W/L MF D/E :SNWC12SL1S008SI (Suitable for 72mm/8mm2 Din locks)|EA|SMARTAIR|SSS|EA|329.51|1|11.15
ASSA|AS|UK|10463000031|SA L2V DIN W/L MF D/E :SNWC12SL2V728SI (Suitable for 72mm/8mm2 Din locks)|EA|SMARTAIR|SSS|EA|329.51|1|11.15
ASSA|AS|UK|10463000131|SA L2V DIN W/L MF D/E (IP55) :SNWC12XL2V728SI|EA|SMARTAIR|SSS|EA|347.09|1|11.15
